what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1302543009823
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1302543009825
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1302543009826
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1302543009827
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotation.model",1302543009829
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.201.v201002021057,"org.eclipse.jst.jee.ejb",1302543009829
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1302543009831
stopped,bundle,org.eclipse.jst.jee.web,1.0.201.v201002031231,"org.eclipse.jst.jee.web",1302543009832
stopped,bundle,com.adobe.flexbuilder.ajaxbridge,4.0.1.277662,"com.adobe.flexbuilder.ajaxbridge",1302543009832
stopped,bundle,com.elementriver.sourcemate,2.0.1.v01282011,"com.elementriver.sourcemate",1302543009833
stopped,bundle,com.adobe.flexbuilder.dcrad,4.0.1.277662,"com.adobe.flexbuilder.dcrad",1302543009833
stopped,bundle,com.adobe.flexbuilder.debug.ui,4.0.1.277662,"com.adobe.flexbuilder.debug.ui",1302543009833
stopped,bundle,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.mxml.editor",1302543009833
stopped,bundle,com.adobe.flexbuilder.css.editor,4.0.1.277662,"com.adobe.flexbuilder.css.editor",1302543009835
stopped,bundle,com.adobe.flexbuilder.flashbridge,4.0.1.277662,"com.adobe.flexbuilder.flashbridge",1302543009835
stopped,bundle,com.adobe.flexbuilder.flexunit,4.0.1.277662,"com.adobe.flexbuilder.flexunit",1302543009835
stopped,bundle,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor",1302543009835
stopped,bundle,com.adobe.flexbuilder.exportimport,4.0.1.277662,"com.adobe.flexbuilder.exportimport",1302543009835
stopped,bundle,com.adobe.flexbuilder.importartwork,4.0.1.277662,"com.adobe.flexbuilder.importartwork",1302543009836
stopped,bundle,com.adobe.flexbuilder.tengine,4.0.1.277662,"com.adobe.flexbuilder.tengine",1302543009836
stopped,bundle,com.adobe.flexbuilder.editorcore,4.0.1.277662,"com.adobe.flexbuilder.editorcore",1302543009836
stopped,bundle,com.adobe.flexbuilder.project.ui,4.0.1.277662,"com.adobe.flexbuilder.project.ui",1302543009836
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1302543009838
stopped,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1302543009838
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1302543009840
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.3.v20090902,"org.eclipse.jst.jsf.facesconfig",1302543009843
stopped,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1302543009843
stopped,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1302543009843
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1302543009844
stopped,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1302543009846
